,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성중공업,A010140,26850,236280,,실적발표,28379,2962,973,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,5.09,70.02,200.74,,,,,,,,,,,,
,조선,0.00,265.05,17.63,,QOQ,7.71,24.43,-31.47,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,43.31,5.69,13.15,8.10,,83,81,3,6,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,33,퀀트상위(%),67,,,,,,,,,,,,
,-17.32,2.20,-13.80,-5.48,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.68,36.07,5.69,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, FCF증가율(%),0,124.53,-77.67,-885.91,54.93,335.69,-317.9,61.84,171.82,957.69,179.9,,,,,,,,,
, ROIC증가율(%),0,-52.93,2.05,-110.27,-59.94,-42.85,33.09,113.19,-176.3,-6878.16,775.66,,,,,,,,,
, ROE증가율(%),0,-201.55,1.54,-333.85,-59.3,11.71,50.98,74.99,138.98,627.52,680.78,,,,,,,,,
, ROA증가율(%),0,-250,-11.02,-254.41,-18.98,-3.75,64.12,77.75,138.95,679.61,881.93,,,,,,,,,
, OPM증가율(%),90.86,-369.38,-17.17,-7.92,-83.15,-28.95,27.46,120.27,74.27,66.5,59.49,,,,,,,,,
, NPM증가율(%),90.62,-268.45,-71.82,-142.08,-21.16,-0.99,52.25,82.23,134.85,612.37,693.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0.35,0.36,0.89,0.62,0.65,0.75,0.76,0.85,1,1.83,2.22,,,,,,,,,
, POR,-24.51,-5.45,-11.41,-7.43,-4.21,-3.8,-5.26,29.23,19.78,26.04,27.4,,,,,,,,,
, PER,-29.76,-8.44,-12.04,-3.49,-2.99,-3.45,-7.26,-46,155.68,54.81,43.31,,,,,,,,,
, EV/EBITDA,41.88,-28.23,-53.84,-25.13,-10,-5.42,-9.96,20.47,15.69,27.79,29.41,,,,,,,,,
, PBR,0.58,0.49,0.69,0.87,1.19,1.21,1.25,1.98,2.62,4.83,5.7,,,,,,,,,
, PCR,-2.32,5.29,28.2,-6.72,-18.18,5.9,-2.66,-13.21,15.19,8.28,15.12,,,,,,,,,
, PRR,50.67,47.55,97.38,92.18,89.5,98.15,73.88,100.56,119.84,202.01,234.17,,,,,,,,,
, PEG,-0.32,0.05,-0.61,0.01,0.23,-0.13,-0.13,-0.6,1.09,0.08,0.06,,,,,,,,,
, ROE,-1.94,-5.85,-5.76,-24.99,-39.81,-35.15,-17.23,-4.31,1.68,8.8,13.15,,,,,,,,,
, ROA,-0.7,-2.45,-2.72,-9.64,-11.47,-11.9,-4.27,-0.95,0.37,2.42,3.65,,,,,,,,,
, ROIC,-3.05,-4.67,-4.57,-9.61,-15.37,-21.95,-14.69,1.94,-1.48,-157.22,11.84,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 차입률(%),84.89,73.24,43.2,73.67,130.48,55.46,87.34,107.98,94.51,68.61,55.59,,,,,,,,,
, 부채비율(%),174.37,138.35,111.72,159.1,247.54,196.26,305.71,357.39,358.59,265.26,261.61,,,,,,,,,
, 당좌비율(%),96.45,77.86,94.52,64.75,64.74,58.17,74.2,66.92,74.13,72.42,73.42,,,,,,,,,
, 유동비율(%),110.01,94.89,118.16,97.75,88.9,79.25,91.27,82.31,77.89,77.31,78.61,,,,,,,,,
, 영업이익/차입금(%),-2.76,-12.34,-14.04,-15.95,-21.73,-57.74,-27.39,6.34,14.19,27.01,37.38,,,,,,,,,
, 매출채권회전일수,195.45,164.62,40,14.19,15.61,8.2,47.51,24.86,43.72,13.37,48.72,,,,,,,,,
, 재고자산회전일수,42.97,56.21,102.72,116.19,96.87,82,96.61,78.8,16.68,16.08,16.78,,,,,,,,,
, 매입채무회전일수,123.55,124.36,66.14,46.86,36.1,45.25,61.66,52.28,34.85,29.7,35.04,,,,,,,,,
, 현금회전일수,114.87,96.47,76.58,83.52,76.38,44.95,82.46,51.38,25.55,-0.25,30.46,,,,,,,,,
, 주식수 (만주),46820,46818,66747,66746,66745,88000,88000,88000,88000,88000,88000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,104142,79012,52651,73497,68603,66220,59447,80094,99031,105125,106500,, 매출액,23230,27004,24943,26830,26348,28379,
, -매출원가,99391,80516,52692,72884,73258,73877,64069,73639,89825,93007,92757,, -매출원가,20956,24048,22567,23578,22814,23798,
, =매출총이익,4751,-1504,-41,613,-4655,-7657,-4622,6455,9206,12118,13743,, =매출총이익,2274,2956,2376,3252,3534,4581,
, -판관비,6223,3737,4051,6779,5886,5463,3922,4121,4179,4716,5121,, -판관비,1075,1214,1145,1204,1153,1619,
, *연구비,712,601,479,497,496,508,609,678,830,954,1009,, *연구비,193,280,213,240,221,335,
, =영업이익,-1472,-5242,-4093,-6166,-10541,-13120,-8544,2333,5027,7402,8622,, =영업이익,1199,1742,1231,2048,2381,2962,
, +-금융손익,-972,430,-1144,-1371,-2331,-1150,-795,-1465,-1794,642,438,, +-금융손익,-480,-569,183,1935,-907,-773,
, +-관계기업손익,-4,-2,-1,0,-26,-18,-8,-1,0,0,0,, +-관계기업손익,0,0,0,0,0,0,
, +-기타영업외손익,1759,175,262,-3856,-1853,789,3800,-3825,-6388,-8363,-2555,, +-기타영업외손익,-2,-5958,-505,-1838,-62,-150,
, =세전순익,-689,-4639,-4976,-11392,-14750,-13498,-5547,-2957,-3155,-318,6505,, =세전순익,717,-4784,909,2145,1412,2039,
, -법인세,699,-1232,-1094,1762,177,1023,727,-1401,-3694,-3751,1148,, -법인세,3,-3790,8,22,9,1109,
, =순이익,-1388,-3407,-3882,-13154,-14927,-14521,-6274,-1556,539,3433,5357,, =순이익,714,-994,901,2123,1403,930,
, 지배순이익,-1212,-3388,-3879,-13108,-14824,-14451,-6194,-1483,639,3516,5455,, 지배순이익,740,-966,921,2141,1420,973,
, 비지배순이익,-176,-19,-3,-46,-103,-70,-80,-73,-100,-83,-98,, 비지배순이익,-26,-28,-20,-18,-17,-43,
, GPM,4.56,-1.9,-0.08,0.83,-6.79,-11.56,-7.77,8.06,9.3,11.53,12.9,, GPM,9.79,10.95,9.53,12.12,13.41,16.14,
