,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
, PER,0,0,0,0,0,0,0,0,24.96,25.22,33.22,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,0,20.58,,,,,,,,,,
, PBR,0,0,0,0,0,0,0,0,4.81,6.23,,,,,,,,,,
, PCR,0,0,0,0,0,0,0,0,134.53,70.27,,,,,,,,,,
, PRR,0,0,0,0,0,0,0,0,639.17,1155.86,,,,,,,,,,
, PEG,0,0,0,0,0,0,0,0,0,0.21,0.45,,,,,,,,,
, ROE,0,0,0,0,0,0,0,10.36,19.27,24.7,,,,,,,,,,
, ROA,0,0,0,0,0,0,0,6.82,16.98,21.62,,,,,,,,,,
, ROIC,0,0,0,0,0,0,0,25.17,28.22,33.6,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,15.28,9.62,8.76,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,0,0,0,0.61,0.38,0.26,,,,,,,,,
, 차입률(%),120.94,140.12,84.73,71.43,70.49,88.92,101.43,14.51,0.34,0.2,,,,,,,,,,
, 부채비율(%),190.38,187.27,122.37,112.04,107.51,133.41,201.59,51.94,13.46,14.24,,,,,,,,,,
, 당좌비율(%),41.05,43.57,59.24,53.95,45.61,49.77,49.74,111.34,465.66,441.32,,,,,,,,,,
, 유동비율(%),99.66,93.03,112.53,99.2,92.72,85.4,94.98,195.12,580.6,562.84,,,,,,,,,,
, 영업이익/차입금(%),0,0,0,0,0,0,0,91.3,7507.93,14545.45,,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,111.89,105.46,123.64,,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,154.2,66.03,66.03,,,,,,,,,,
, 매입채무회전일수,60.73,59.15,62.63,61.02,50.52,66.47,79.64,46.11,18.47,32.27,,,,,,,,,,
, 현금회전일수,-60.73,-59.15,-62.63,-61.02,-50.52,-66.47,-79.64,219.98,153.02,157.4,,,,,,,,,,
, 주식수 (만주),0,0,0,0,0,0,0,0,3045,3045,3055,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,589,543,507,652,643,648,1077,2145,3340,4682,5019,, 매출액,797,1084,988,1283,1327,1421,
, -매출원가,0,0,0,0,0,0,0,1801,1904,2523,,, -매출원가,440,619,520,670,714,0,
, =매출총이익,0,0,0,0,0,0,0,344,1436,2159,,, =매출총이익,357,465,468,613,613,0,
, -판관비,0,0,0,0,0,0,0,177,343,560,,, -판관비,80,128,93,151,188,0,
, *연구비,0,0,0,0,0,0,0,10,33,29,,, *연구비,11,12,6,7,4,0,
, =영업이익,28,11,-41,40,18,5,122,466,1092,1600,1787,, =영업이익,278,337,375,462,426,524,
, +-금융손익,0,0,0,0,0,0,0,15,-158,11,,, +-금융손익,45,-115,13,139,-26,0,
, +-관계기업손익,0,0,0,0,0,0,0,0,0,0,,, +-관계기업손익,0,0,0,0,0,0,
