,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨어스테크놀로지,A458870,182900,23204,,실적발표,204,87,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,272.13,2549.91,,,,,,,,,,,,,
,의료서비스,0.00,33.88,51.69,,QOQ,29.70,29.39,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,292.74,76.58,26.16,33.89,,92,99,33,9,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,65,퀀트상위(%),35,,,,,,,,,,,,
,-107.88,21.21,-58.14,-193.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.28,100.03,26.17,6.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, PRR,0,0,0,0,0,0,0,0,31.94,,,,,,,,,,,
, PEG,0,0,0,0,0,0,0,0,0,,0.59,,,,,,,,,
, ROE,0,0,0,0,0,0,0,-122.3,-41.46,,,,,,,,,,,
, ROA,0,0,0,0,0,0,0,-57.84,-31.59,,,,,,,,,,,
, ROIC,0,0,0,0,0,0,0,-83.05,-61.53,,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,
, 차입률(%),0,0,0,-118.79,81.79,12.46,9.56,77.62,14.23,,,,,,,,,,,
, 부채비율(%),0,0,0,-146.35,121.92,25.31,18.24,111.47,31.24,,,,,,,,,,,
, 당좌비율(%),0,0,0,33.03,259.11,643.11,405.57,72.22,392.17,,,,,,,,,,,
, 유동비율(%),0,0,0,34.28,264.04,657.81,433.07,87.25,423.78,,,,,,,,,,,
, 영업이익/차입금(%),0,0,0,0,0,0,0,-155.77,-285.04,,,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,127.47,191.18,,,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,195.77,55.27,,,,,,,,,,,
, 매입채무회전일수,0,0,0,78.21,182.5,104.29,152.08,134.47,58.58,,,,,,,,,,,
, 현금회전일수,0,0,0,-78.21,-182.5,-104.29,-152.08,188.77,187.87,,,,,,,,,,,
, 주식수 (만주),0,0,0,0,0,0,0,0,1255,,1269,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,0,0,0,14,6,14,12,19,81,,482,, 매출액,10,55,41,80,157,204,
, -매출원가,0,0,0,0,0,0,0,27,47,,,, -매출원가,0,19,15,23,46,0,
, =매출총이익,0,0,0,0,0,0,0,-8,34,,,, =매출총이익,0,36,26,57,111,0,
, -판관비,0,0,0,0,0,0,0,90,121,,,, -판관비,35,33,32,43,44,0,
, *연구비,0,0,0,0,0,0,0,35,41,,,, *연구비,13,8,11,12,12,0,
, =영업이익,0,0,0,-16,-31,-44,-80,-98,-87,,163,, =영업이익,-35,3,-6,15,67,87,
, +-금융손익,0,0,0,0,0,0,0,-1,-1,,,, +-금융손익,1,0,0,0,0,0,
, +-관계기업손익,0,0,0,0,0,0,0,0,0,,,, +-관계기업손익,0,0,0,0,0,0,
, +-기타영업외손익,0,0,0,0,0,0,0,0,0,,,, +-기타영업외손익,0,0,0,0,0,0,
, =세전순익,0,0,0,0,0,0,0,-99,-88,,,, =세전순익,-35,4,-6,15,67,85,
, -법인세,0,0,0,0,0,0,0,0,1,,,, -법인세,0,1,0,0,0,-1,
, =순이익,0,0,0,0,0,0,0,-99,-89,,,, =순이익,-35,3,-6,15,67,86,
, 지배순이익,0,0,0,-19,-34,-44,-80,-99,-89,,149,, 지배순이익,-35,3,-6,15,67,73,
, 비지배순이익,0,0,0,19,34,44,80,0,0,,,, 비지배순이익,0,0,0,0,0,13,
, GPM,0,0,0,0,0,0,0,-42.11,41.98,,,, GPM,0,65.45,63.41,71.25,70.7,0,
, OPM,0,0,0,-114.29,-516.67,-314.29,-666.67,-515.79,-107.41,,33.82,, OPM,-350,5.45,-14.63,18.75,42.68,42.65,
, NPM,0,0,0,-135.71,-566.67,-314.29,-666.67,-521.05,-109.88,,30.91,, NPM,-350,5.45,-14.63,18.75,42.68,35.78,
, 판관비율,0,0,0,0,0,0,0,473.68,149.38,,,, 판관비율,350,60,78.05,53.75,28.03,0,
, 연구비율,0,0,0,0,0,0,0,184.21,50.62,,,, 연구비율,130,14.55,26.83,15,7.64,0,
, 감가상각비율,0,0,0,0,0,0,0,52.63,13.58,,,, 감가상각비율,30,5.45,7.32,0,1.91,0,
, 설비투자비율,0,0,0,0,0,0,0,36.84,4.94,,,, 설비투자비율,10,3.64,2.44,0,1.91,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,0,0,0,0,0,0,-79,-111,,,, 영업활동현금흐름,-33,-26,7,0,-3,0,
, 당기순이익,0,0,0,0,0,0,0,-99,-89,,,, 당기순이익,-35,3,-6,15,67,86,
, 감가상각비,0,0,0,0,0,0,0,10,11,,,, 감가상각비,3,3,3,0,3,0,
, 투자활동현금흐름,0,0,0,0,0,0,0,-10,-14,,,, 투자활동현금흐름,-1,-12,-1,0,-5,0,
, 설비투자,0,0,0,0,0,0,0,7,4,,,, 설비투자,1,2,1,0,3,0,
, 재무활동현금흐름,0,0,0,0,0,0,0,27,192,,,, 재무활동현금흐름,-43,-1,0,0,5,0,
, FCF,0,0,0,0,0,0,0,-86,-115,,,, FCF,-34,-28,6,0,-6,0,
,,,,,,,,,,,,,,,,,,,,,
