,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전기,A009150,464500,346952,,실적발표,29021,2395,2228,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.45,108.20,6.92,,,,,,,,,,,,
,스마트폰 부품,0.39,48.98,30.20,,QOQ,0.45,-7.98,1.35,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,49.14,3.64,7.40,8.07,,86,80,73,5,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,70,퀀트상위(%),30,,,,,,,,,,,,
,17.15,1.61,9.67,10.62,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,3103.70,8.53,3.64,0.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, FCF증가율(%),0,-103.82,147.92,-244.9,257.85,6.69,-68.57,-110.55,2323.81,42.6,-54.44,,,,,,,,,
, ROIC증가율(%),0,951.89,205.49,-24.58,24.3,25.45,-3.21,-51.38,10.75,14.29,11.54,,,,,,,,,
, ROE증가율(%),0,991.43,256.28,-28.51,7.5,26.96,-2.03,-58.57,43.41,22.32,-4.24,,,,,,,,,
, ROA증가율(%),0,994.74,264.9,-21.87,10.46,37.1,-0.67,-59.3,46.28,22.47,-8.88,,,,,,,,,
, OPM증가율(%),-91.71,1007.1,220.94,-33.2,22.63,30.55,-18.34,-40.82,-3.87,-0.47,13.05,,,,,,,,,
, NPM증가율(%),34.37,870.43,246.81,-18.74,16.91,18.4,12.8,-54.28,38.68,24.6,-5.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0.63,1.09,0.97,1.21,1.71,1.52,1.03,1.29,0.9,1.33,3.07,,,,,,,,,
, POR,155.51,24.39,6.72,12.6,14.57,9.92,8.24,17.32,12.58,18.32,37.99,,,,,,,,,
, PER,258,46.18,11.78,18.15,22.01,16.53,9.94,27.05,13.62,20.9,49.14,,,,,,,,,
, EV/EBITDA,8.11,10.11,4.74,6.52,7.8,0,0,0,0,9.49,20.02,,,,,,,,,
, PBR,0.89,1.77,1.6,1.77,2.3,2.2,1.29,1.46,1.05,1.57,3.64,,,,,,,,,
, PCR,5.58,10.41,4.96,9.14,8.37,8.52,6.19,9.69,6.47,9.9,23.29,,,,,,,,,
, PRR,13.15,23.24,17.03,20.14,32.02,28.04,18.8,22.47,15.93,22.93,52.68,,,,,,,,,
, PEG,8.2,0.05,0.04,-0.84,1.26,0.35,1.01,-0.48,0.22,0.61,12.4,,,,,,,,,
, ROE,0.35,3.82,13.61,9.73,10.46,13.28,13.01,5.39,7.73,7.53,7.4,,,,,,,,,
, ROA,0.19,2.08,7.59,5.93,6.55,8.98,8.92,3.63,5.31,5,4.84,,,,,,,,,
, ROIC,0.39,4.09,12.5,9.42,11.71,14.7,14.22,6.92,7.66,7.98,8.25,,,,,,,,,
, 배당성향(%),253.93,34.64,11.38,15.98,17.31,17.58,16,20.31,19.8,19.44,19.04,,,,,,,,,
, 연간 배당률(%),0.98,0.75,0.97,0.88,0.79,1.06,1.61,0.75,1.45,0.93,0.39,,,,,,,,,
, 차입률(%),56.34,59.31,49.61,37.04,32.26,15.75,19.57,19.88,18.15,22.47,23.87,,,,,,,,,
, 부채비율(%),76.66,79.32,74.77,59.74,56.09,44.68,42.94,45.17,41.89,48.09,50.29,,,,,,,,,
, 당좌비율(%),97.17,63.56,96.02,120.85,146.87,124.4,118.28,106.5,119.11,135.58,122.65,,,,,,,,,
, 유동비율(%),137.65,101.01,140.47,189.55,216.74,205.77,193.59,179.57,192.74,196.38,185.83,,,,,,,,,
, 영업이익/차입금(%),1,11.92,46.86,36.84,47.87,137.35,78.58,41.37,44.93,38.23,40.11,,,,,,,,,
, 매출채권회전일수,47.46,48.76,48.41,51.84,46.9,48.59,41.15,50.94,52.88,64.27,60.23,,,,,,,,,
, 재고자산회전일수,50.04,49.05,50.88,60.12,62.99,68.6,73.65,87,79.81,72.47,77.84,,,,,,,,,
, 매입채무회전일수,51.44,40.14,42.28,43.48,54.85,57.93,47.97,54.39,42.99,43.9,47.39,,,,,,,,,
, 현금회전일수,46.06,57.67,57.01,68.48,55.04,59.26,66.83,83.55,89.7,92.85,90.69,,,,,,,,,
, 주식수 (만주),7469,7469,7469,7469,7469,7469,7469,7469,7469,7469,7469,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,60330,68385,80020,77183,77533,96750,94246,88924,102941,109045,113143,, 매출액,26153,24923,27386,27846,28890,29021,
, -매출원가,50062,54301,55146,57300,57845,71271,71615,71730,83349,87906,90370,, -매출원가,20877,20531,22298,22192,22885,22995,
, =매출총이익,10268,14084,24874,19883,19688,25479,22631,17194,19592,21139,22773,, =매출총이익,5276,4392,5088,5654,6005,6026,
, -판관비,10024,11022,13375,12474,10560,10611,10803,10588,12242,13251,13640,, -판관비,3027,3242,3083,3524,3402,3631,
, *연구비,2885,3214,4540,4635,4152,5262,5184,5092,5804,6302,6586,, *연구비,1490,1456,1428,1695,1723,1740,
, =영업이익,244,3062,11499,7409,9127,14869,11828,6605,7350,7888,9133,, =영업이익,2249,1150,2005,2130,2603,2395,
, +-금융손익,-311,-551,-639,-586,-328,-309,-171,-150,-7,-36,-40,, +-금융손익,-41,69,-40,-52,-13,65,
, +-관계기업손익,85,80,72,119,99,104,-29,-47,-10,18,6,, +-관계기업손익,-39,104,-44,-3,-39,92,
, +-기타영업외손익,302,-56,-81,18,-209,250,240,-776,639,380,-142,, +-기타영업외손익,-741,659,-184,-361,266,137,
, =세전순익,321,2535,10852,6961,8689,14913,11868,5632,7973,8251,8958,, =세전순익,1428,1982,1738,1714,2817,2689,
, -법인세,92,762,4002,1681,2451,5759,1933,1127,941,1102,1648,, -법인세,186,-130,322,342,568,416,
, =순이익,229,1773,6850,5280,6238,9154,9935,4505,7032,7149,7310,, =순이익,1242,2112,1416,1372,2249,2273,
, 지배순이익,147,1617,6562,5143,6040,8924,9806,4230,6791,6916,7060,, 지배순이익,1152,2084,1337,1297,2198,2228,
, 비지배순이익,82,156,288,137,198,230,129,275,241,233,250,, 비지배순이익,90,28,79,75,51,45,
, GPM,17.02,20.6,31.08,25.76,25.39,26.33,24.01,19.34,19.03,19.39,20.13,, GPM,20.17,17.62,18.58,20.3,20.79,20.76,
, OPM,0.4,4.48,14.37,9.6,11.77,15.37,12.55,7.43,7.14,7.23,8.07,, OPM,8.6,4.61,7.32,7.65,9.01,8.25,
, NPM,0.24,2.36,8.2,6.66,7.79,9.22,10.4,4.76,6.6,6.34,6.24,, NPM,4.4,8.36,4.88,4.66,7.61,7.68,
, 판관비율,16.62,16.12,16.71,16.16,13.62,10.97,11.46,11.91,11.89,12.15,12.06,, 판관비율,11.57,13.01,11.26,12.66,11.78,12.51,
, 연구비율,4.78,4.7,5.67,6.01,5.36,5.44,5.5,5.73,5.64,5.78,5.82,, 연구비율,5.7,5.84,5.21,6.09,5.96,6,
, 감가상각비율,10.08,9.22,9.2,11.27,10.85,8.96,9.32,9.41,8.16,8.32,8.17,, 감가상각비율,8.14,8.89,8.07,8.21,8.19,8.21,
, 설비투자비율,17.44,21.59,14.94,20.06,9.76,8.73,13.76,13.6,7.54,7.37,10.54,, 설비투자비율,5.6,6.32,6.48,9.6,6.98,18.81,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,6796,7177,15587,10213,15881,17312,15754,11804,14298,14599,14900,, 영업활동현금흐름,2698,2643,3146,3594,5216,2944,
, 당기순이익,229,1773,6850,5280,6238,9154,9935,4505,7032,7149,7310,, 당기순이익,1242,2112,1416,1372,2249,2273,
, 감가상각비,6083,6306,7364,8700,8412,8664,8788,8367,8402,9077,9246,, 감가상각비,2129,2215,2210,2286,2366,2384,
, 투자활동현금흐름,-11863,-12323,-6981,-5170,-7324,-8451,-13276,-10228,-8059,-8295,-12229,, 투자활동현금흐름,-1504,-1743,-1760,-2739,-2053,-5677,
, 설비투자,10519,14763,11952,15480,7567,8442,12965,12098,7760,8038,11921,, 설비투자,1464,1575,1774,2673,2016,5458,
