,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,플리토,A300080,12220,2017,,실적발표,102,7,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,82.98,204.57,,,,,,,,,,,,,
,인터넷서비스,0.00,65.52,,,QOQ,-13.32,-74.53,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,33.49,12.09,36.10,17.10,,96,98,26,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,60,퀀트상위(%),40,,,,,,,,,,,,
,-43.52,11.91,-34.38,-29.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,125.12,15.26,34.71,1.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, NPM증가율(%),0,-5.57,50.24,-121.05,83.11,-53.84,30.44,11.94,110.32,271.97,287.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0,0,0,36.46,8.75,27.34,9.83,8.56,4.89,5.34,5.6,,,,,,,,,
, POR,0,0,0,-16.17,-19.1,-41.55,-20.34,-29.85,-250.56,29.95,33.07,,,,,,,,,
, PER,0,0,0,-15.54,-21.99,-44.16,-22.86,-22.38,122.7,27.95,36.67,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,0,25.55,,,,,,,,,,
, PBR,0,0,0,3.85,3.07,14.86,11.19,34.71,9.01,10.04,,,,,,,,,,
, PCR,0,0,0,-16.04,-36.53,-42.35,-24.64,-34.18,71.22,22.97,,,,,,,,,,
, PRR,0,0,0,131.6,79.23,303.7,130.22,135.14,116.52,186.33,,,,,,,,,,
, PEG,0,0,0,0,-0.43,0.46,17.06,1.45,1.1,0.07,0.06,,,,,,,,,
, ROE,0,0,-9.76,-24.77,-13.96,-33.65,-48.94,-155.07,7.35,35.93,,,,,,,,,,
, ROA,0,0,-36.68,-22.61,-11.95,-20.71,-23.69,-43.07,4.89,21.74,,,,,,,,,,
, ROIC,0,0,-1700,-386.44,-242.86,-701.98,-319.7,-192.67,-13.33,72.73,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 차입률(%),10,-136.8,-115.37,3.71,2.7,47.5,84.09,184.92,13.64,5.99,,,,,,,,,,
, 부채비율(%),21.76,-155.48,-126.61,9.58,16.8,62.44,106.55,260.03,50.11,65.27,,,,,,,,,,
, 당좌비율(%),561.46,60.44,19.38,2222.56,899.22,1385.36,203.12,152.97,527.29,312.2,,,,,,,,,,
, 유동비율(%),561.46,60.44,19.38,2222.56,899.22,1385.36,203.12,152.97,527.29,312.2,,,,,,,,,,
, 영업이익/차입금(%),0,0,-2.09,-641.63,-594.63,-75.28,-65.41,-62.89,-26.38,560,,,,,,,,,,
, 매출채권회전일수,0,0,18.94,81.99,54.64,45.36,40.58,43.6,49.62,113.92,,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 매입채무회전일수,48.67,49.77,10.43,43.8,29.59,35.32,24.15,22.56,21.58,38.36,,,,,,,,,,
, 현금회전일수,-48.67,-49.77,8.51,38.19,25.05,10.04,16.43,21.04,28.04,75.56,,,,,,,,,,
, 주식수 (만주),0,0,0,1554,1562,1562,1565,1569,1649,1651,1651,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,15,22,35,25,74,93,136,178,203,314,360,, 매출액,69,56,46,94,118,102,
, -매출원가,0,0,13,0,0,0,0,0,0,0,,, -매출원가,0,0,0,0,0,0,
, =매출총이익,0,0,22,25,74,93,136,178,203,314,,, =매출총이익,69,56,46,94,118,0,
, -판관비,0,0,25,83,108,155,202,229,207,256,,, -판관비,57,53,44,69,90,0,
, *연구비,0,0,-2,7,8,8,10,11,9,9,,, *연구비,2,2,2,2,3,0,
, =영업이익,-32,-26,-17,-57,-34,-61,-66,-51,-4,56,61,, =영업이익,12,2,2,24,28,7,
, +-금융손익,0,0,-11,-1,4,-1,8,-9,4,3,,, +-금융손익,-1,2,0,-1,2,0,
, +-관계기업손익,0,0,0,0,0,0,0,0,0,0,,, +-관계기업손익,0,0,0,0,0,0,
, +-기타영업외손익,0,0,0,0,0,0,1,0,8,0,,, +-기타영업외손익,0,0,0,0,0,0,
, =세전순익,0,0,-14,-59,-30,-63,-58,-60,8,60,,, =세전순익,12,5,2,23,30,11,
, -법인세,0,0,0,1,0,-5,1,8,0,0,,, -법인세,0,0,0,0,0,2,
