,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨에스윈드,A112610,66100,27875,,실적발표,7827,702,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.39,99.98,,,,,,,,,,,,,
,풍력,1.51,154.27,13.74,,QOQ,31.11,6.81,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,14.01,2.17,15.47,10.93,,93,88,27,31,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,68,퀀트상위(%),32,,,,,,,,,,,,
,34.24,2.78,6.43,7.65,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1521.13,5.11,7.41,0.99,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, ROE증가율(%),0,322.97,-84.82,377.55,-20.19,-0.94,-97.03,881.82,473.61,60.27,,,,,,,,,,
, ROA증가율(%),0,324.11,-90.24,342.86,-19.35,6.86,-97.06,518.18,479.41,76.28,,,,,,,,,,
, OPM증가율(%),-162.16,248.89,-42.58,15.46,33.96,-16,-63.81,123.85,21.32,29.31,31.43,,,,,,,,,
, NPM증가율(%),-177.18,324.14,-90.57,239.67,-20.1,73.74,-97.51,823.46,262.92,87.48,28.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0.97,1.45,0.95,0.82,3.16,2.32,2.11,1.95,0.58,0.63,0.95,,,,,,,,,
, POR,-12.82,12.79,14.57,10.92,31.36,27.4,68.88,28.41,6.92,6.19,8.7,,,,,,,,,
, PER,-17.57,11.63,80.53,20.59,99.12,41.85,1521.13,152.75,12.42,8.88,16.03,,,,,,,,,
, EV/EBITDA,0,0,12.68,9.77,25.26,21.16,29.53,20.53,6.74,7.13,,,,,,,,,,
, PBR,1.02,1.5,1.58,1.93,7.41,3.1,3.3,3.3,1.54,1.37,,,,,,,,,,
, PCR,6.21,-147.13,-23.24,7.67,127.55,-26.29,19.24,26.71,36.01,2.69,,,,,,,,,,
, PRR,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, PEG,0.1,0.04,-0.95,0.05,49.81,0.55,-15.66,0.17,0.02,0.1,0.72,,,,,,,,,
, ROE,-5.79,12.91,1.96,9.36,7.47,7.4,0.22,2.16,12.39,15.47,,,,,,,,,,
, ROA,-4.48,10.04,0.98,4.34,3.5,3.74,0.11,0.68,3.94,5.88,,,,,,,,,,
, ROIC,-11.14,11.72,8.46,13.15,10.88,7.65,-6.62,7.02,12.27,18.89,,,,,,,,,,
, 배당성향(%),-20.04,15.53,116.22,24.89,52.95,38.22,1105.47,108.8,29.64,21.2,24.25,,,,,,,,,
, 연간 배당률(%),1.14,1.34,1.44,1.21,0.53,0.91,0.73,0.71,2.39,2.39,1.51,,,,,,,,,
, 차입률(%),5.66,9.94,55.8,61.66,54.5,46.97,51.48,101.2,119.78,93.47,,,,,,,,,,
, 부채비율(%),29.15,28.51,90.38,98.9,98.56,87.66,92.33,203.98,200.72,159.73,,,,,,,,,,
, 당좌비율(%),216.45,186.25,105.7,98.07,103.17,126.08,100.93,54.89,79.09,91.66,,,,,,,,,,
, 유동비율(%),283.25,266.69,171.28,135.98,164.71,187.35,162.1,95.58,123.46,130.37,,,,,,,,,,
, 영업이익/차입금(%),-140.04,118,18.42,26.37,40.36,22.81,8.82,10.91,17.77,23.74,,,,,,,,,,
, 매출채권회전일수,94.78,105.7,112.77,75.09,76.62,121.68,97.2,117.07,86.31,60.31,,,,,,,,,,
, 재고자산회전일수,63.51,76.12,107.61,54.31,77.01,107.17,101.3,139.79,78.06,62.32,,,,,,,,,,
, 매입채무회전일수,42.22,27.59,54.87,51.87,59.92,96.61,85.85,199.69,92.04,86.37,,,,,,,,,,
, 현금회전일수,116.07,154.23,165.51,77.53,93.71,132.24,112.65,57.17,72.33,36.26,,,,,,,,,,
, 주식수 (만주),3643,3643,3643,3643,3455,4217,4217,4217,4217,4217,4217,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,3112,3122,5022,7994,9691,11950,13749,15202,30725,28214,29316,, 매출액,8055,6725,9019,6500,5970,7827,
, -매출원가,2912,2383,4208,6858,8211,10236,12387,13132,26681,23958,,, -매출원가,6630,5913,7435,5581,5029,0,
, =매출총이익,200,739,814,1136,1480,1714,1362,2070,4044,4256,,, =매출총이익,1425,812,1584,919,941,0,
, -판관비,436,385,487,535,504,703,941,1028,1490,1403,,, -판관비,327,461,332,326,284,0,
, *연구비,0,0,0,0,0,0,0,0,0,0,,, *연구비,0,0,0,0,0,0,
, =영업이익,-237,354,327,601,976,1011,421,1042,2555,2853,3204,, =영업이익,1098,351,1252,593,657,702,
, +-금융손익,29,59,-31,-99,-110,-141,-409,-540,-914,-706,,, +-금융손익,-142,-304,-171,-127,-104,0,
, +-관계기업손익,-1,-1,-5,-2,-12,12,-24,-39,-33,28,,, +-관계기업손익,-3,11,4,11,2,0,
, +-기타영업외손익,40,6,-224,-102,-276,25,57,-229,110,7,,, +-기타영업외손익,53,-17,1,25,-2,0,
, =세전순익,-168,419,68,399,578,907,46,234,1718,2181,,, =세전순익,1007,41,1086,502,552,-1601,
, -법인세,4,29,-3,52,242,260,115,50,281,157,,, -법인세,269,-61,132,113,-27,-79,
, =순이익,-172,390,71,347,336,647,-69,184,1437,2024,,, =순이익,738,102,954,389,579,-1522,
, 지배순이익,-173,389,59,319,309,662,19,194,1423,1989,1739,, 지배순이익,731,100,949,381,559,-150,
, 비지배순이익,1,1,12,28,27,-15,-88,-10,14,35,,, 비지배순이익,7,2,5,8,20,-1372,
, GPM,6.43,23.67,16.21,14.21,15.27,14.34,9.91,13.62,13.16,15.08,,, GPM,17.69,12.07,17.56,14.14,15.76,0,
, OPM,-7.62,11.34,6.51,7.52,10.07,8.46,3.06,6.85,8.32,10.11,10.93,, OPM,13.63,5.22,13.88,9.12,11.01,8.97,
, NPM,-5.56,12.46,1.17,3.99,3.19,5.54,0.14,1.28,4.63,7.05,5.93,, NPM,9.08,1.49,10.52,5.86,9.36,-1.92,
, 판관비율,14.01,12.33,9.7,6.69,5.2,5.88,6.84,6.76,4.85,4.97,,, 판관비율,4.06,6.86,3.68,5.02,4.76,0,
, 연구비율,0,0,0,0,0,0,0,0,0,0,,, 연구비율,0,0,0,0,0,0,
, 감가상각비율,4.82,4.61,3.07,2.69,3.02,3.2,4.77,4.99,5.36,6.61,,, 감가상각비율,4.54,9.2,4.68,6.29,6.97,0,
, 설비투자비율,5.14,11.76,5.26,10.97,11.37,7.72,7.16,12.65,6.5,4.35,,, 설비투자비율,5.45,7.79,3.54,3.65,2.45,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,488,-31,-205,857,240,-1054,1508,1108,491,6563,,, 영업활동현금흐름,147,1367,485,1880,2831,0,
, 당기순이익,-172,390,71,347,336,647,-69,184,1437,2024,,, 당기순이익,738,102,954,389,579,-1522,
, 감가상각비,150,144,154,215,293,382,656,758,1647,1866,,, 감가상각비,366,619,422,409,416,0,
, 투자활동현금흐름,-330,-139,-617,-664,-1103,-3006,-1053,-2359,-2117,-1465,,, 투자활동현금흐름,-261,-460,-313,-232,-460,0,
, 설비투자,160,367,264,877,1102,923,984,1923,1997,1226,,, 설비투자,439,524,319,237,146,0,
, 재무활동현금흐름,-125,95,793,233,1094,5678,-949,1411,2915,-2913,,, 재무활동현금흐름,440,304,-451,-1808,-958,0,
