,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,하이브,A352820,344000,148153,,실적발표,7164,40,-2652,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.38,-93.84,-820.46,,,,,,,,,,,,
,미디어,0.06,54.46,34.91,,QOQ,-1.48,109.42,-427.65,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-62.44,4.55,-7.29,1.86,,37,30,92,11,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,32,퀀트상위(%),68,,,,,,,,,,,,
,122.17,3.48,3.10,11.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,858.82,20.57,7.14,1.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, OPM증가율(%),0,19.05,-24.63,-36.59,8.71,-17.12,-11.93,1.75,-39.89,-57.66,-77.19,,,,,,,,,
, NPM증가율(%),0,4.13,-187.86,153.73,-14.37,1.21,-72.97,192.05,-95.15,96.6,-2248.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0,0,0,0,7.16,11.49,4.04,4.47,3.57,4.17,5.59,,,,,,,,,
, POR,0,0,0,0,39.17,75.86,30.29,32.9,43.77,100.81,300.51,,,,,,,,,
, PER,0,0,0,0,66.49,105.5,137.13,51.94,858.82,-13849.38,-62.46,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,0,49.53,82.81,,,,,,,,,
, PBR,0,0,0,0,4.77,5.13,2.59,3.33,2.51,3.48,4.55,,,,,,,,,
, PCR,0,0,0,0,48.85,81.42,20.67,31.31,53.14,72.13,137.82,,,,,,,,,
, PRR,0,0,0,0,3445.72,5203.06,1443.34,2142.18,1572.75,1816.31,2178.72,,,,,,,,,
, PEG,0,0,0,0,0,2.71,-2.22,0.2,-9.04,-144.63,0.02,,,,,,,,,
, ROE,0,0,0,0,7.17,4.87,1.89,6.41,0.29,-0.03,-7.28,,,,,,,,,
, ROA,0,0,0,0,4.45,2.89,1.07,3.5,0.17,-0.01,-4.32,,,,,,,,,
, ROIC,0,0,0,0,117.86,104.62,112.44,-242.33,-26.17,-10.69,51.58,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,15.57,88.81,-1041.25,-3.63,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,0,0,0.3,0.1,0.08,0.06,,,,,,,,,
, 차입률(%),0,0,21.18,7.72,28.62,42.47,38.03,35.56,31.06,40.24,33.35,,,,,,,,,
, 부채비율(%),22.27,50.97,114.55,74.47,60.51,63.82,66.3,71.89,55.93,67.77,59.38,,,,,,,,,
, 당좌비율(%),588.25,274.82,163.58,182.54,448.04,327.29,239.75,99.48,195.51,296.91,296.79,,,,,,,,,
, 유동비율(%),588.25,274.82,169.38,188.26,468.96,341.47,249.07,106.58,215.14,322.62,321.9,,,,,,,,,
, 영업이익/차입금(%),0,0,0,0,42.41,15.52,21.27,26.74,16.87,8.59,4.54,,,,,,,,,
, 매출채권회전일수,0,0,0,0,53.47,53.77,55.48,46.06,50.38,43.24,45.29,,,,,,,,,
, 재고자산회전일수,0,0,0,0,28.4,24.18,16.27,21.09,26.4,25.8,25.4,,,,,,,,,
, 매입채무회전일수,24.89,46.61,46.26,31.33,65.04,67.86,70.53,99.12,72.54,61.85,63.79,,,,,,,,,
, 현금회전일수,-24.89,-46.61,-46.26,-31.33,16.83,10.09,1.22,-31.97,4.24,7.19,6.9,,,,,,,,,
, 주식수 (만주),0,0,0,0,3598,4135,4135,4165,4165,4165,4307,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,352,924,3014,5872,7963,12559,17762,21781,22556,26598,26498,, 매출액,5278,7264,5006,7056,7272,7164,
, -매출원가,0,0,0,0,4216,6329,9336,11691,12958,16595,17139,, -매출원가,2873,4302,2824,4213,5256,4846,
, =매출총이익,0,0,0,0,3747,6230,8426,10090,9598,10003,9359,, =매출총이익,2405,2962,2182,2843,2016,2318,
, -판관비,0,0,0,0,2292,4328,6057,7134,7758,8904,8865,, -판관비,1863,2317,1965,2184,2438,2278,
, *연구비,0,0,0,0,17,28,50,45,51,61,68,, *연구비,11,16,11,12,22,23,
, =영업이익,104,325,799,987,1455,1902,2369,2956,1840,1099,493,, =영업이익,542,646,216,659,-422,40,
, +-금융손익,0,0,0,0,-139,61,-291,-426,-220,819,705,, +-금융손익,-539,304,687,-355,183,190,
, +-관계기업손익,0,0,0,0,-16,159,1,107,-184,-91,-117,, +-관계기업손익,-79,-17,-58,-13,-3,-43,
, +-기타영업외손익,0,0,0,0,-38,-18,-1114,-136,-1243,-1296,-2853,, +-기타영업외손익,11,-1219,-43,23,-57,-2776,
, =세전순익,0,0,0,0,1262,2105,965,2501,194,529,-1773,, =세전순익,-66,-287,802,313,-299,-2589,
, -법인세,0,0,0,0,391,697,485,666,228,611,770,, -법인세,-80,-26,258,158,221,133,
, =순이익,0,0,0,0,871,1408,480,1835,-34,-82,-2543,, =순이익,14,-261,544,155,-520,-2722,
, 지배순이익,90,246,-705,738,857,1368,523,1873,94,-8,-2372,, 지배순이익,64,-288,602,181,-503,-2652,
