,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전자,A005930,189000,11188116,,실적발표,938374,200737,192921,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,23.82,209.17,154.64,,,,,,,,,,,,
,종합 반도체,0.78,29.94,6.69,,QOQ,9.03,65.00,60.68,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,25.28,2.64,10.43,13.07,,91,91,78,8,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,91,퀀트상위(%),9,,,,,,,,,,,,
,12.75,1.29,10.29,11.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.38,5.26,2.64,0.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, FCF증가율(%),0,-16.66,93.47,-46.59,38.37,-35.07,-29.1,-205.67,260.13,41.85,75.16,,,,,,,,,
, ROIC증가율(%),0,51.55,-1.65,-54.84,28.56,23.13,17.98,-84.19,197.98,-6.82,31.13,,,,,,,,,
, ROE증가율(%),0,65.97,-8.37,-53.83,15.52,35.9,19.7,-74.15,109.27,-5.04,21.52,,,,,,,,,
, ROA증가율(%),0,60.23,-5.62,-52.82,13.11,33.33,32.61,-74.02,105.99,-4.79,19.48,,,,,,,,,
, OPM증가율(%),10.04,54.58,7.88,-50.11,26.11,21.49,-22.28,-82.33,328.88,-4.12,20.16,,,,,,,,,
, NPM증가율(%),0,55.41,4.33,-48.16,18.04,27.39,29.02,-69.13,99.92,-5.81,18.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,1.26,1.37,0.95,1.45,2.04,1.67,1.09,1.81,1.06,1.57,3.35,,,,,,,,,
, POR,8.67,6.13,3.92,12,13.43,9.05,7.61,71.36,9.7,16.54,25.66,,,,,,,,,
, PER,11.31,7.96,5.26,15.49,18.53,11.91,6.03,32.38,9.45,15.26,25.28,,,,,,,,,
, EV/EBITDA,5.82,5.09,3.42,6.9,8.39,6.41,4.54,10.87,4.99,7.26,13.16,,,,,,,,,
, PBR,1.36,1.59,0.96,1.31,1.81,1.58,0.96,1.33,0.81,1.24,2.64,,,,,,,,,
, PCR,5.35,5.29,3.45,7.34,7.41,7.18,5.31,10.62,4.35,6.32,13.11,,,,,,,,,
, PRR,17.96,20.11,12.59,16.73,22.9,20.87,13.25,16.54,9.07,13.37,29.64,,,,,,,,,
, PEG,0.44,0.08,0.36,-0.3,0.87,0.24,0.15,-0.44,0.07,6.52,0.77,,,,,,,,,
, ROE,12.02,19.95,18.28,8.44,9.75,13.25,15.86,4.1,8.58,8.1,10.43,,,,,,,,,
, ROA,8.55,13.7,12.93,6.1,6.9,9.2,12.2,3.17,6.53,6.21,7.81,,,,,,,,,
, ROIC,20.33,30.82,30.31,13.69,17.6,21.67,25.56,4.04,12.04,10.8,15.41,,,,,,,,,
, 배당성향(%),17.89,13.27,19.26,39.31,68.5,21.97,15.75,59.56,25.68,26.3,19.34,,,,,,,,,
, 연간 배당률(%),1.58,1.67,3.66,2.54,3.7,1.84,2.61,1.84,2.72,1.72,0.77,,,,,,,,,
, 차입률(%),7.92,8.77,5.92,7,7.33,6.03,2.91,3.49,4.81,4.15,5.95,,,,,,,,,
, 부채비율(%),35.87,40.68,36.97,34.12,37.07,39.92,26.41,25.36,27.93,27.4,30.78,,,,,,,,,
, 당좌비율(%),224.99,181.61,210.93,242.41,219.79,200.62,212.24,190.59,187.84,205.26,183.3,,,,,,,,,
, 유동비율(%),258.54,218.8,252.89,284.38,262.17,247.58,278.86,258.77,243.3,262.94,232.76,,,,,,,,,
, 영업이익/차입금(%),191.34,285.13,401.49,150.82,178.03,280.74,419.78,51.77,169.3,180.06,172.75,,,,,,,,,
, 매출채권회전일수,50.27,48.46,55.32,62.28,53.28,59.02,50.57,61.01,64.6,67.41,64.12,,,,,,,,,
, 재고자산회전일수,33.19,38.06,43.4,42.4,49.39,54.02,63.03,72.77,62.79,58.22,57.59,,,,,,,,,
, 매입채무회전일수,56.46,57.55,60.61,64.92,72.36,76.05,70.95,75.48,74.64,67.91,74.52,,,,,,,,,
, 현금회전일수,27,28.97,38.11,39.76,30.31,36.99,42.65,58.3,52.75,57.71,47.19,,,,,,,,,
, 주식수 (만주),703397,645492,596978,596978,596978,596978,596978,596978,596978,591964,591964,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,2018667,2395754,2437714,2304009,2368070,2796048,3022314,2589355,3008709,3155568,3336059,, 매출액,790987,757883,791405,745663,860617,938374,
, -매출원가,1202777,1292907,1323944,1472396,1444883,1664113,1900418,1803886,1865623,1999179,2022354,, -매출원가,490951,472689,510099,490695,525696,495864,
, =매출총이익,815890,1102847,1113770,831613,923187,1131935,1121896,785469,1143086,1156389,1313705,, =매출총이익,300036,285194,281306,254968,334921,442510,
, -판관비,523484,566397,524903,553928,563248,615596,688130,719799,815827,856188,877694,, -판관비,208203,220267,214453,208207,213261,241773,
, *연구비,141114,163556,183541,199072,211115,224017,249192,283397,349981,371381,377404,, *연구비,88670,102620,90327,90193,88241,108643,
, =영업이익,292407,536450,588867,277685,359939,516339,433766,65670,327260,300202,436012,, =영업이익,91834,64927,66853,46761,121661,200737,
, +-금융손익,6790,7585,13904,18868,9495,8386,18013,34546,37176,48005,45066,, +-금융손익,7938,12219,14826,9015,11945,9280,
, +-관계기업손익,195,2014,5398,4130,5065,7296,10906,8876,7510,7127,6827,, +-관계기업손익,1834,1543,1189,1590,2805,1243,
, +-기타영업외손익,7744,15910,3430,3640,-11048,1497,1719,971,3351,8275,6913,, +-기타영업외손익,1599,384,8649,196,-954,-978,
, =세전순익,307137,561960,611600,304322,363451,533518,464405,110063,375297,363606,494815,, =세전순익,103204,79073,91516,57561,135456,210282,
