,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,영화테크,A265560,8300,887,,실적발표,287,60,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,2.93,7.28,,,,,,,,,,,,,
,기타 자동차부품,1.20,32.57,,,QOQ,12.04,63.97,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,6.18,1.05,17.00,16.54,,95,96,70,40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,99,퀀트상위(%),1,,,,,,,,,,,,
,18.11,2.00,10.27,9.25,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,280.48,5.02,4.54,0.84,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, NPM증가율(%),53.7,7.42,-25.59,-146.14,133.98,460.34,56.48,-6.21,57.12,-2.47,-35.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0,1.64,1.13,1.15,3.43,4.8,2,1.71,0.74,0.79,0.82,,,,,,,,,
, POR,0,12.94,19.33,-34.23,1686.32,84.1,50.21,22.18,4.57,4.86,4.93,,,,,,,,,
, PER,0,15.39,15.56,-34.65,280.48,76.4,19.83,18.23,5.02,5.9,8.61,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,0,4.62,,,,,,,,,,
, PBR,0,2.03,1.28,1.14,2.4,3.71,1.68,1.77,0.95,1.01,,,,,,,,,,
, PCR,0,12.98,8.58,29.9,75.85,62.73,18.41,21.85,4.03,3.73,,,,,,,,,,
, PRR,0,75.33,42.5,31.71,69.93,65.06,39.19,38.97,14.8,13.28,,,,,,,,,,
, PEG,0,0,-0.42,0.25,2.18,0.15,0.22,0.69,0.04,0.21,-0.32,,,,,,,,,
, ROE,0,13.21,8.2,-3.28,0.86,4.85,8.48,9.73,18.86,17.06,,,,,,,,,,
, ROA,0,10.07,6.62,-2.65,0.69,3.95,5.93,7.06,13.1,12.86,,,,,,,,,,
, ROIC,0,22.98,12.17,-6.81,0.31,5.91,6.12,10.4,20.11,17.56,,,,,,,,,,
, 배당성향(%),0,8.65,13.71,-18.01,62.33,20.93,11.08,14.02,7.62,7.42,10.38,,,,,,,,,
, 연간 배당률(%),0,0.56,0.88,0.52,0.22,0.27,0.56,0.77,1.52,1.26,1.2,,,,,,,,,
, 차입률(%),24.56,10.48,7.77,8.57,12.77,15.54,27.12,25.91,26.38,8.29,,,,,,,,,,
, 부채비율(%),49,31.12,23.91,23.52,23.59,22.65,42.8,37.91,43.99,32.58,,,,,,,,,,
, 당좌비율(%),182.87,304.02,363.13,304.58,295.21,393.97,421.17,327.2,174.89,210.4,,,,,,,,,,
, 유동비율(%),211.4,345.7,424.86,366.96,338.93,517.73,522.66,408.37,207.64,270,,,,,,,,,,
, 영업이익/차입금(%),0,149.98,84.96,-38.74,1.12,28.35,12.34,30.89,78.45,250,,,,,,,,,,
, 매출채권회전일수,0,85.91,55.88,51.12,62.73,49.82,56.01,64.08,84.94,73.81,,,,,,,,,,
, 재고자산회전일수,0,32.39,37.55,47.08,50.26,79.34,71.29,56.68,39.48,50.45,,,,,,,,,,
, 매입채무회전일수,32.1,40.69,47.76,51.56,52.14,30.57,39.62,23.06,32.34,15.58,,,,,,,,,,
, 현금회전일수,-32.1,77.61,45.67,46.64,60.85,98.59,87.68,97.7,92.08,108.69,,,,,,,,,,
, 주식수 (만주),0,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,614,592,535,446,350,406,479,649,948,1078,1086,, 매출액,222,279,268,275,256,287,
, -매출원가,0,454,438,393,288,300,378,501,647,741,,, -매출원가,150,187,189,184,181,0,
, =매출총이익,0,138,97,53,62,106,101,148,301,337,,, =매출총이익,72,92,79,91,75,0,
, -판관비,0,64,66,68,62,83,82,98,147,162,,, -판관비,41,37,43,43,39,0,
, *연구비,0,13,14,16,17,30,24,29,48,64,,, *연구비,15,15,13,21,15,0,
, =영업이익,65,69,31,-15,1,23,19,50,154,175,180,, =영업이익,32,55,36,48,36,60,
, +-금융손익,0,-9,7,6,2,5,17,5,15,4,,, +-금융손익,-4,10,-3,-35,32,0,
, +-관계기업손익,0,0,0,0,0,0,0,0,0,0,,, +-관계기업손익,0,0,0,0,0,0,
, +-기타영업외손익,0,6,5,-5,2,0,2,6,3,15,,, +-기타영업외손익,0,2,5,7,1,0,
, =세전순익,0,70,43,-14,5,29,38,61,171,195,,, =세전순익,27,68,37,21,69,99,
, -법인세,0,8,4,1,1,3,-10,0,31,52,,, -법인세,1,27,8,10,7,11,
, =순이익,0,62,39,-15,4,26,48,61,140,143,,, =순이익,26,41,29,11,62,88,
, 지배순이익,56,58,39,-15,4,26,48,61,140,144,103,, 지배순이익,26,41,29,11,63,0,
, 비지배순이익,-56,4,0,0,0,0,0,0,0,-1,,, 비지배순이익,0,0,0,0,-1,88,
, GPM,0,23.31,18.13,11.88,17.71,26.11,21.09,22.8,31.75,31.26,,, GPM,32.43,32.97,29.48,33.09,29.3,0,
, OPM,10.59,11.66,5.79,-3.36,0.29,5.67,3.97,7.7,16.24,16.23,16.57,, OPM,14.41,19.71,13.43,17.45,14.06,20.91,
