,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,롯데케미칼,A011170,79800,34135,,실적발표,47099,-4335,-13238,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.71,-85.52,-23.91,,,,,,,,,,,,
,종합 화학,1.88,76.52,-8.69,,QOQ,-1.59,-227.02,-1021.64,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-1.68,0.27,-16.19,-5.10,,32,19,61,84,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,46,퀀트상위(%),54,,,,,,,,,,,,
,-25.76,0.39,-1.70,-0.27,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,99.33,4.79,1.51,0.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업현금증가율(%),0,15.86,-55.87,-7.46,2.57,13.38,-111.27,571.34,95.36,10.05,-68.3,,,,,,,,,
, 설비투자증가율(%),0,27.19,-8.58,-51.68,-10.09,-3.6,235.26,40.4,-38.51,-44.55,-27.56,,,,,,,,,
, FCF증가율(%),0,-0.31,-141.97,182.84,31.9,40.17,-487.17,-3.28,75.59,69.5,-62.76,,,,,,,,,
, ROIC증가율(%),0,2.55,-45.71,-50.02,-60.45,298.92,-96.42,-143,-2100.81,-22.41,-37.53,,,,,,,,,
, ROE증가율(%),0,-0.41,-36.51,-56.37,-77.26,652.85,-95.36,-174.42,-3625,-161.4,-35.82,,,,,,,,,
, ROA증가율(%),0,-0.78,-33.89,-52.96,-77.03,612.2,-96.06,-165.22,-3200,-139.88,-32.24,,,,,,,,,
, OPM증가율(%),39.89,-4.08,-34.39,-39.53,-60.12,190.23,-140.4,49.08,-163.7,19.62,-11.02,,,,,,,,,
, NPM증가율(%),63.84,1.82,-30.49,-51.88,-72.57,467.59,-96.24,-190.65,-3329.87,-152.41,-28.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0.96,0.79,0.59,0.51,0.77,0.41,0.27,0.33,0.13,0.16,0.18,,,,,,,,,
, POR,4.97,4.31,4.88,6.93,26.51,4.84,-8.02,-18.85,-2.8,-3.9,-3.62,,,,,,,,,
, PER,6.89,5.62,6.01,10.74,59.7,5.58,99.33,-130.95,-1.5,-1.63,-1.68,,,,,,,,,
, EV/EBITDA,4.47,0,3.64,0,0,0,47.05,15.34,25.93,30.24,51.91,,,,,,,,,
, PBR,1.35,1.1,0.75,0.58,0.74,0.52,0.42,0.42,0.18,0.22,0.27,,,,,,,,,
, PCR,4.68,4.03,6.88,6.01,7.22,5,-36.53,8.3,1.66,2.82,6.98,,,,,,,,,
, PRR,198.86,137.48,102.79,90.78,118.21,80.45,59.72,54.44,17.26,21.29,25.27,,,,,,,,,
, PEG,0.08,0.25,-0.2,-0.2,-0.77,0.01,-1.04,0.79,0,0.01,0.09,,,,,,,,,
, ROE,19.61,19.53,12.4,5.41,1.23,9.26,0.43,-0.32,-11.92,-13.23,-16.19,,,,,,,,,
, ROA,11.57,11.48,7.59,3.57,0.82,5.84,0.23,-0.15,-4.95,-5.29,-6.55,,,,,,,,,
, ROIC,25.66,26.31,14.29,7.14,2.82,11.27,0.4,-0.17,-3.81,-3.32,-4.91,,,,,,,,,
, 배당성향(%),7.46,16.02,22.76,32.08,77.75,21.3,185.25,-299.17,-5,-4.8,-4.2,,,,,,,,,
, 연간 배당률(%),1.08,2.85,3.79,2.99,1.3,3.82,1.86,2.28,3.34,2.95,2.51,,,,,,,,,
, 차입률(%),44.52,34.29,35.34,25.84,24.6,23.74,36.63,49.5,53.35,77.08,76.4,,,,,,,,,
, 부채비율(%),68.78,59.54,53.56,42.62,41.38,48.03,55.14,65.46,72.87,107.77,107.18,,,,,,,,,
, 당좌비율(%),126.84,176.46,160.71,202.23,185.49,144.95,108.35,107.5,72.51,75.03,66.26,,,,,,,,,
, 유동비율(%),169.67,216.98,205.58,263.53,239.79,205.95,148.28,150.45,105.66,110.22,104.18,,,,,,,,,
, 영업이익/차입금(%),60.79,69.72,40.66,30.49,10.58,41.89,-12.06,-3.47,-8.58,-7.16,-9.81,,,,,,,,,
, 매출채권회전일수,42.96,38.67,35.5,37.01,42.51,39.05,37.45,42.86,40.27,41.16,37.22,,,,,,,,,
, 재고자산회전일수,40.77,35.32,40.36,40.54,46.5,56.26,41.76,51.27,51.71,56.23,57.47,,,,,,,,,
, 매입채무회전일수,34.69,38.82,28.34,31.83,35.02,40.81,35.37,37.03,34.64,29.76,36.34,,,,,,,,,
, 현금회전일수,49.04,35.17,47.52,45.72,53.99,54.5,43.84,57.1,57.34,67.63,58.34,,,,,,,,,
, 주식수 (만주),3598,3598,3598,3598,3598,3598,3428,4278,4278,4278,4278,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,132235,158745,160731,151235,122230,181205,222761,199464,198948,185651,184830,, 매출액,50802,47920,49018,40852,47861,47099,
, -매출원가,99568,120819,133690,132088,110697,156565,219928,191651,195903,181130,182209,, -매출원가,51841,47264,47324,40442,46100,48343,
, =매출총이익,32667,37926,27041,19147,11533,24640,2833,7813,3045,4521,2621,, =매출총이익,-1039,656,1694,410,1761,-1244,
, -판관비,7225,8629,7580,8075,7964,9283,10459,11290,12191,11954,12051,, -판관비,3136,2993,2960,2915,3086,3090,
, *연구비,636,917,924,846,800,925,1024,1204,1482,1360,1351,, *연구비,432,343,322,353,342,334,
, =영업이익,25443,29297,19462,11073,3569,15356,-7626,-3477,-9145,-7434,-9432,, =영업이익,-4174,-2337,-1266,-2505,-1326,-4335,
, +-금융손익,-849,-201,-50,-593,-729,-765,-2213,-2248,-3607,-4766,-5777,, +-금융손익,-1768,-1260,-948,-1707,-851,-2271,
, +-관계기업손익,714,2844,2023,1849,681,3659,2526,203,-1208,-2184,-1047,, +-관계기업손익,-510,-1144,-313,-452,-275,-7,
, +-기타영업외손익,-435,-1093,650,157,-1053,624,3386,1000,-8832,-8890,-10844,, +-기타영업외손익,-734,-8593,117,-409,-5,-10547,
, =세전순익,24874,30847,22085,12486,2467,18875,-3926,-4523,-22793,-23274,-27101,, =세전순익,-7186,-13333,-2411,-5074,-2456,-17160,
, -법인세,6502,8001,5666,4919,714,4739,-4204,-4131,-4537,-3020,-2339,, -법인세,-2048,-1891,52,-361,-820,-1210,
, =순이익,18372,22846,16419,7567,1753,14136,278,-392,-18256,-20254,-24762,, =순이익,-5138,-11442,-2463,-4713,-1636,-15950,
, 지배순이익,18358,22439,15792,7150,1585,13337,616,-500,-17105,-17816,-20371,, 지배순이익,-4473,-10683,-1908,-4045,-1180,-13238,
, 비지배순이익,14,407,627,417,168,799,-338,108,-1151,-2438,-4391,, 비지배순이익,-665,-759,-555,-668,-456,-2712,
, GPM,24.7,23.89,16.82,12.66,9.44,13.6,1.27,3.92,1.53,2.44,1.42,, GPM,-2.05,1.37,3.46,1,3.68,-2.64,
, OPM,19.24,18.46,12.11,7.32,2.92,8.47,-3.42,-1.74,-4.6,-4,-5.1,, OPM,-8.22,-4.88,-2.58,-6.13,-2.77,-9.2,
, NPM,13.88,14.14,9.83,4.73,1.3,7.36,0.28,-0.25,-8.6,-9.6,-11.02,, NPM,-8.8,-22.29,-3.89,-9.9,-2.47,-28.11,
, 판관비율,5.46,5.44,4.72,5.34,6.52,5.12,4.7,5.66,6.13,6.44,6.52,, 판관비율,6.17,6.25,6.04,7.14,6.45,6.56,
, 연구비율,0.48,0.58,0.57,0.56,0.65,0.51,0.46,0.6,0.74,0.73,0.73,, 연구비율,0.85,0.72,0.66,0.86,0.71,0.71,
, 감가상각비율,4.76,4.35,4.26,4.84,6.8,4.6,4.26,5.88,6.49,6.62,6.67,, 감가상각비율,6.54,6.95,6.11,7.22,6.3,7.15,
, 설비투자비율,12.01,12.72,11.49,5.9,6.56,4.27,11.64,18.25,11.25,8.88,8.77,, 설비투자비율,10.16,8.44,7.81,13.59,6.4,8.01,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,27006,31290,13809,12779,13108,14862,-1675,7895,15424,10261,4890,, 영업활동현금흐름,2489,5280,4166,1785,-970,-91,
